Enemy,Damage Taken
Time Eater,54.0
Shield and Spear,54.0
3 Sentries,54.0
Donu and Deca,54.0
The Guardian,54.0
Collector,54.0
Shield and Spear,54.0
Gremlin Nob,54.0
Slime Boss,54.0
Reptomancer,54.0
Collector,54.0
Gremlin Nob,54.0
Donu and Deca,54.0
3 Byrds,54.0
Awakened One,54.0
Nemesis,54.0
Book of Stabbing,54.0
Snecko,54.0
3 Sentries,54.0
Champ,53.0
Gremlin Leader,53.0
3 Sentries,53.0
Nemesis,53.0
Lagavulin,53.0
Lagavulin,53.0
The Heart,53.0
Shelled Parasite and Fungi,53.0
Hexaghost,53.0
3 Shapes,53.0
The Guardian,53.0
Hexaghost,53.0
Champ,53.0
Hexaghost,53.0
Gremlin Leader,53.0
Time Eater,53.0
2 Orb Walkers,53.0
Champ,53.0
Time Eater,53.0
Gremlin Nob,53.0
Slavers,53.0
Book of Stabbing,53.0
Slavers,53.0
Giant Head,53.0
Hexaghost,53.0
Slavers,53.0
Nemesis,53.0
The Heart,53.0
The Heart,53.0
Writhing Mass,53.0
3 Cultists,53.0
Champ,53.0
The Heart,53.0
Spire Growth,53.0
Collector,53.0
The Guardian,53.0
Giant Head,53.0
Automaton,53.0
Shield and Spear,53.0
Nemesis,53.0
Hexaghost,52.0
Champ,52.0
Slavers,52.0
Time Eater,52.0
Writhing Mass,52.0
Hexaghost,52.0
Automaton,52.0
Donu and Deca,52.0
Book of Stabbing,52.0
Writhing Mass,52.0
Gremlin Nob,52.0
Maw,52.0
The Guardian,52.0
Champ,52.0
Gremlin Leader,52.0
Slavers,52.0
Donu and Deca,52.0
Gremlin Leader,52.0
Hexaghost,52.0
Automaton,52.0
Slavers,52.0
Champ,52.0
Gremlin Leader,52.0
3 Sentries,52.0
Collector,52.0
3 Sentries,52.0
Donu and Deca,52.0
Champ,51.0
Slavers,51.0
Awakened One,51.0
Time Eater,51.0
Hexaghost,51.0
Slime Boss,51.0
Awakened One,51.0
Gremlin Nob,51.0
Donu and Deca,51.0
2 Orb Walkers,51.0
Shield and Spear,51.0
The Heart,51.0
Donu and Deca,51.0
Gremlin Leader,51.0
Giant Head,51.0
Nemesis,51.0
Gremlin Nob,51.0
Slime Boss,51.0
Champ,51.0
Nemesis,51.0
Hexaghost,51.0
Hexaghost,51.0
4 Shapes,51.0
Book of Stabbing,51.0
Slavers,51.0
The Heart,51.0
Hexaghost,51.0
Shelled Parasite and Fungi,50.0
Automaton,50.0
Chosen,50.0
Slavers,50.0
Automaton,50.0
Gremlin Leader,50.0
Time Eater,50.0
Awakened One,50.0
3 Shapes,50.0
Shelled Parasite and Fungi,50.0
Book of Stabbing,50.0
Slavers,50.0
Chosen and Byrds,50.0
Hexaghost,50.0
Champ,50.0
Champ,50.0
Book of Stabbing,50.0
3 Sentries,50.0
Slime Boss,50.0
Slavers,50.0
3 Sentries,50.0
4 Shapes,50.0
3 Sentries,50.0
3 Sentries,50.0
Book of Stabbing,50.0
Book of Stabbing,50.0
Reptomancer,50.0
Hexaghost,50.0
Champ,50.0
Awakened One,50.0
The Guardian,50.0
Chosen and Byrds,50.0
The Heart,50.0
Slavers,50.0
Lagavulin,50.0
Awakened One,50.0
Automaton,50.0
The Heart,50.0
Gremlin Nob,50.0
Awakened One,50.0
The Heart,50.0
3 Sentries,50.0
The Heart,50.0
Hexaghost,50.0
Book of Stabbing,50.0
Slavers,50.0
The Heart,50.0
Hexaghost,50.0
Lagavulin,50.0
The Guardian,50.0
Donu and Deca,50.0
Hexaghost,49.0
Time Eater,49.0
Sphere and 2 Shapes,49.0
Reptomancer,49.0
Shield and Spear,49.0
Time Eater,49.0
Champ,49.0
Slime Boss,49.0
Spheric Guardian,49.0
Automaton,49.0
Automaton,49.0
Champ,49.0
Hexaghost,49.0
Book of Stabbing,49.0
Awakened One,49.0
3 Byrds,49.0
Time Eater,49.0
Champ,49.0
The Heart,49.0
Lagavulin,49.0
Gremlin Leader,49.0
Spheric Guardian,49.0
Masked Bandits,49.0
Donu and Deca,49.0
Lagavulin,49.0
Reptomancer,49.0
Gremlin Nob,49.0
Reptomancer,49.0
The Heart,49.0
Lagavulin,49.0
Slavers,49.0
Shield and Spear,49.0
Champ,49.0
Shell Parasite,49.0
Hexaghost,49.0
Book of Stabbing,49.0
The Guardian,49.0
2 Orb Walkers,49.0
Lagavulin,49.0
Automaton,49.0
Champ,49.0
Automaton,49.0
Collector,49.0
3 Byrds,49.0
Time Eater,48.0
Spheric Guardian,48.0
Hexaghost,48.0
Slavers,48.0
Book of Stabbing,48.0
Slavers,48.0
The Guardian,48.0
3 Sentries,48.0
Slime Boss,48.0
Cultist and Chosen,48.0
Slavers,48.0
Lagavulin,48.0
Nemesis,48.0
The Heart,48.0
Slavers,48.0
Nemesis,48.0
Reptomancer,48.0
Lagavulin,48.0
Champ,48.0
Book of Stabbing,48.0
3 Sentries,48.0
Lagavulin,48.0
Lagavulin,48.0
3 Darklings,48.0
Jaw Worm Horde,48.0
The Heart,48.0
Reptomancer,48.0
Hexaghost,48.0
Gremlin Gang,48.0
Collector,48.0
Gremlin Leader,48.0
Awakened One,48.0
Collector,48.0
Nemesis,48.0
Slavers,48.0
Gremlin Nob,48.0
Giant Head,48.0
Time Eater,48.0
Gremlin Nob,48.0
Lagavulin,48.0
The Guardian,48.0
3 Sentries,47.0
Reptomancer,47.0
Hexaghost,47.0
Shield and Spear,47.0
Gremlin Nob,47.0
2 Orb Walkers,47.0
Gremlin Leader,47.0
The Heart,47.0
Automaton,47.0
Giant Head,47.0
Exordium Thugs,47.0
2 Orb Walkers,47.0
3 Darklings,47.0
The Heart,47.0
3 Sentries,47.0
The Heart,47.0
Donu and Deca,47.0
Slavers,47.0
Shield and Spear,47.0
Slavers,47.0
Giant Head,47.0
Lagavulin,47.0
Slavers,47.0
Shield and Spear,47.0
2 Orb Walkers,47.0
Gremlin Nob,47.0
The Guardian,47.0
Shelled Parasite and Fungi,47.0
Slime Boss,47.0
2 Orb Walkers,47.0
Gremlin Leader,47.0
Book of Stabbing,47.0
Time Eater,47.0
Shield and Spear,47.0
Gremlin Leader,47.0
Slavers,47.0
Gremlin Leader,47.0
3 Sentries,47.0
Lagavulin,47.0
Gremlin Nob,47.0
Lagavulin,47.0
Hexaghost,47.0
Reptomancer,47.0
Automaton,47.0
Lagavulin,47.0
The Guardian,47.0
Awakened One,47.0
Book of Stabbing,46.0
2 Orb Walkers,46.0
Gremlin Leader,46.0
Gremlin Nob,46.0
Slavers,46.0
Reptomancer,46.0
Lagavulin,46.0
3 Cultists,46.0
Slavers,46.0
Snake Plant,46.0
Slavers,46.0
Gremlin Leader,46.0
Gremlin Nob,46.0
Lagavulin,46.0
Automaton,46.0
Lagavulin,46.0
Slavers,46.0
Champ,46.0
Book of Stabbing,46.0
The Heart,46.0
Chosen and Byrds,46.0
Slime Boss,46.0
Slavers,46.0
Time Eater,46.0
Automaton,46.0
Gremlin Nob,46.0
Gremlin Nob,46.0
Automaton,46.0
Gremlin Leader,46.0
Shield and Spear,46.0
Shelled Parasite and Fungi,46.0
Gremlin Leader,46.0
Gremlin Leader,46.0
Book of Stabbing,46.0
Time Eater,46.0
Automaton,46.0
The Heart,46.0
Shell Parasite,46.0
Gremlin Nob,46.0
3 Darklings,46.0
Lagavulin,46.0
3 Sentries,46.0
Reptomancer,46.0
Collector,46.0
Gremlin Leader,46.0
Cultist and Chosen,46.0
The Heart,46.0
Gremlin Nob,46.0
Lagavulin,46.0
The Guardian,46.0
3 Sentries,46.0
Hexaghost,46.0
The Guardian,46.0
Reptomancer,46.0
Gremlin Leader,46.0
Gremlin Leader,46.0
Hexaghost,45.0
Slavers,45.0
Champ,45.0
Snake Plant,45.0
Lagavulin,45.0
Lagavulin,45.0
Slavers,45.0
Book of Stabbing,45.0
Giant Head,45.0
Slavers,45.0
Book of Stabbing,45.0
The Guardian,45.0
Jaw Worm Horde,45.0
Book of Stabbing,45.0
Maw,45.0
Slime Boss,45.0
Sphere and 2 Shapes,45.0
Hexaghost,45.0
Champ,45.0
The Guardian,45.0
Awakened One,45.0
Slavers,45.0
Slavers,45.0
Shield and Spear,45.0
Slime Boss,45.0
4 Shapes,45.0
2 Orb Walkers,45.0
Slime Boss,45.0
Gremlin Nob,45.0
Lagavulin,45.0
Hexaghost,45.0
Collector,45.0
Lagavulin,45.0
Lagavulin,45.0
Awakened One,45.0
Nemesis,45.0
The Guardian,45.0
Shield and Spear,45.0
Hexaghost,45.0
Lagavulin,45.0
4 Shapes,45.0
Hexaghost,45.0
The Guardian,45.0
Gremlin Nob,45.0
Cultist and Chosen,45.0
3 Byrds,45.0
Slavers,45.0
Shell Parasite,45.0
The Heart,45.0
3 Darklings,45.0
Shield and Spear,45.0
Shield and Spear,45.0
3 Sentries,45.0
Lagavulin,45.0
Gremlin Nob,45.0
Collector,45.0
Slime Boss,45.0
Book of Stabbing,45.0
Gremlin Leader,45.0
2 Orb Walkers,45.0
3 Sentries,45.0
Slime Boss,45.0
The Guardian,45.0
Gremlin Leader,44.0
Gremlin Leader,44.0
3 Sentries,44.0
Nemesis,44.0
Hexaghost,44.0
Donu and Deca,44.0
Hexaghost,44.0
Hexaghost,44.0
Hexaghost,44.0
Slime Boss,44.0
Snecko,44.0
Book of Stabbing,44.0
Shield and Spear,44.0
Gremlin Leader,44.0
Awakened One,44.0
Lagavulin,44.0
Gremlin Leader,44.0
Snake Plant,44.0
3 Byrds,44.0
3 Sentries,44.0
Book of Stabbing,44.0
Automaton,44.0
Nemesis,44.0
Gremlin Nob,44.0
Hexaghost,44.0
Nemesis,44.0
Lagavulin,44.0
The Guardian,44.0
Champ,44.0
Lagavulin,44.0
3 Darklings,44.0
Reptomancer,44.0
Gremlin Nob,44.0
Giant Head,44.0
Book of Stabbing,44.0
Lagavulin,44.0
Lagavulin,44.0
Slavers,44.0
Shield and Spear,44.0
Book of Stabbing,44.0
Book of Stabbing,44.0
Snecko,44.0
Lagavulin,44.0
The Guardian,44.0
Lagavulin,44.0
Lagavulin,44.0
Awakened One,44.0
Collector,44.0
Gremlin Leader,43.0
The Heart,43.0
Time Eater,43.0
Collector,43.0
Book of Stabbing,43.0
Automaton,43.0
Book of Stabbing,43.0
Slavers,43.0
3 Sentries,43.0
3 Darklings,43.0
Time Eater,43.0
Lagavulin,43.0
Exordium Wildlife,43.0
Hexaghost,43.0
3 Darklings,43.0
Lagavulin,43.0
The Heart,43.0
Champ,43.0
2 Orb Walkers,43.0
3 Sentries,43.0
Donu and Deca,43.0
Time Eater,43.0
Slavers,43.0
Gremlin Nob,43.0
Lagavulin,43.0
Hexaghost,43.0
Gremlin Nob,43.0
Nemesis,43.0
Shelled Parasite and Fungi,43.0
Lagavulin,43.0
Automaton,43.0
Collector,43.0
Awakened One,43.0
Book of Stabbing,43.0
Slime Boss,43.0
Shelled Parasite and Fungi,43.0
Automaton,43.0
3 Sentries,43.0
3 Byrds,43.0
Awakened One,43.0
Lagavulin Event,43.0
Hexaghost,43.0
3 Byrds,43.0
Slavers,43.0
Hexaghost,43.0
The Heart,43.0
Lagavulin,43.0
Gremlin Leader,43.0
Donu and Deca,43.0
Gremlin Nob,43.0
3 Cultists,43.0
Book of Stabbing,43.0
Slavers,43.0
The Heart,42.0
Gremlin Gang,42.0
Slime Boss,42.0
Gremlin Leader,42.0
Jaw Worm Horde,42.0
Automaton,42.0
Snake Plant,42.0
Slavers,42.0
2 Thieves,42.0
Nemesis,42.0
The Heart,42.0
Giant Head,42.0
Hexaghost,42.0
2 Orb Walkers,42.0
Snecko,42.0
Nemesis,42.0
Gremlin Nob,42.0
Transient,42.0
The Guardian,42.0
Slavers,42.0
Awakened One,42.0
The Heart,42.0
Hexaghost,42.0
Book of Stabbing,42.0
Slavers,42.0
Champ,42.0
Collector,42.0
Slime Boss,42.0
The Guardian,42.0
Gremlin Nob,42.0
Hexaghost,42.0
Gremlin Nob,42.0
Book of Stabbing,42.0
The Guardian,42.0
Sentry and Sphere,42.0
Awakened One,42.0
Book of Stabbing,42.0
3 Sentries,42.0
Gremlin Nob,42.0
Time Eater,42.0
The Guardian,42.0
Transient,42.0
Lagavulin,42.0
Lagavulin,42.0
3 Byrds,42.0
Snecko,42.0
Slavers,42.0
3 Sentries,42.0
Chosen,42.0
3 Sentries,42.0
Snake Plant,42.0
Awakened One,42.0
The Guardian,42.0
Hexaghost,42.0
3 Sentries,42.0
2 Thieves,42.0
Shield and Spear,42.0
Book of Stabbing,42.0
Lagavulin,42.0
Champ,42.0
Gremlin Nob,41.0
Slavers,41.0
Automaton,41.0
Colosseum Nobs,41.0
Reptomancer,41.0
Donu and Deca,41.0
Lagavulin,41.0
Hexaghost,41.0
Gremlin Nob,41.0
The Heart,41.0
3 Cultists,41.0
Slavers,41.0
Slime Boss,41.0
Hexaghost,41.0
Slime Boss,41.0
Exordium Thugs,41.0
3 Sentries,41.0
Automaton,41.0
Snecko,41.0
Orb Walker,41.0
Book of Stabbing,41.0
Hexaghost,41.0
Slavers,41.0
Reptomancer,41.0
Shelled Parasite and Fungi,41.0
Gremlin Leader,41.0
3 Sentries,41.0
Lagavulin,41.0
Lagavulin,41.0
3 Sentries,41.0
The Guardian,41.0
Shelled Parasite and Fungi,41.0
Book of Stabbing,41.0
Book of Stabbing,41.0
Cultist and Chosen,41.0
Hexaghost,41.0
Lagavulin,41.0
3 Darklings,41.0
Hexaghost,41.0
Book of Stabbing,41.0
Sentry and Sphere,41.0
Collector,41.0
Slime Boss,41.0
The Heart,41.0
Exordium Thugs,41.0
Nemesis,41.0
Orb Walker,41.0
Collector,41.0
The Guardian,41.0
Shelled Parasite and Fungi,41.0
Collector,41.0
Shelled Parasite and Fungi,41.0
Book of Stabbing,41.0
Spire Growth,41.0
Hexaghost,41.0
Slime Boss,41.0
Slavers,41.0
